method,pca,pca_dim,asset,hz,thr_bps,k,cluster,trade_dir,horizon,da_oos,n_test
kmeans,pca150_k8,150,btc,30s,30,8,1,-1,1s,0.4937,158
kmeans,pca150_k8,150,btc,30s,30,8,2,-1,1s,0.4839,31
kmeans,pca150_k8,150,btc,30s,30,8,3,-1,1s,0.543,372
kmeans,pca150_k8,150,btc,30s,30,8,5,-1,1s,0.5435,46
kmeans,pca150_k8,150,btc,30s,30,8,6,-1,1s,0.532,671
kmeans,pca150_k8,150,btc,30s,30,8,1,-1,5s,0.5145,173
kmeans,pca150_k8,150,btc,30s,30,8,2,-1,5s,0.6562,32
kmeans,pca150_k8,150,btc,30s,30,8,3,-1,5s,0.5077,390
kmeans,pca150_k8,150,btc,30s,30,8,5,-1,5s,0.6087,46
kmeans,pca150_k8,150,btc,30s,30,8,6,-1,5s,0.5384,691
kmeans,pca150_k8,150,btc,30s,30,8,1,-1,15s,0.5896,173
kmeans,pca150_k8,150,btc,30s,30,8,2,-1,15s,0.6875,32
kmeans,pca150_k8,150,btc,30s,30,8,3,-1,15s,0.533,394
kmeans,pca150_k8,150,btc,30s,30,8,5,-1,15s,0.8043,46
kmeans,pca150_k8,150,btc,30s,30,8,6,-1,15s,0.5844,693
kmeans,pca150_k8,150,btc,30s,30,8,1,-1,30s,0.5896,173
kmeans,pca150_k8,150,btc,30s,30,8,2,-1,30s,0.5,32
kmeans,pca150_k8,150,btc,30s,30,8,3,-1,30s,0.5278,396
kmeans,pca150_k8,150,btc,30s,30,8,5,-1,30s,0.7391,46
kmeans,pca150_k8,150,btc,30s,30,8,6,-1,30s,0.6129,695
kmeans,pca150_k8,150,btc,30s,30,8,1,-1,60s,0.4651,172
kmeans,pca150_k8,150,btc,30s,30,8,2,-1,60s,0.3438,32
kmeans,pca150_k8,150,btc,30s,30,8,3,-1,60s,0.5592,397
kmeans,pca150_k8,150,btc,30s,30,8,5,-1,60s,0.8696,46
kmeans,pca150_k8,150,btc,30s,30,8,6,-1,60s,0.645,693
kmeans,pca150_k8,150,btc,30s,30,8,1,-1,120s,0.4854,171
kmeans,pca150_k8,150,btc,30s,30,8,2,-1,120s,0.5,32
kmeans,pca150_k8,150,btc,30s,30,8,3,-1,120s,0.5126,396
kmeans,pca150_k8,150,btc,30s,30,8,5,-1,120s,0.6522,46
kmeans,pca150_k8,150,btc,30s,30,8,6,-1,120s,0.6037,694
kmeans,pca150_k8,150,btc,30s,30,8,1,-1,300s,0.3118,170
kmeans,pca150_k8,150,btc,30s,30,8,2,-1,300s,0.8438,32
kmeans,pca150_k8,150,btc,30s,30,8,3,-1,300s,0.4773,396
kmeans,pca150_k8,150,btc,30s,30,8,5,-1,300s,0.7391,46
kmeans,pca150_k8,150,btc,30s,30,8,6,-1,300s,0.6599,694
kmeans,pca150_k8,150,btc,30s,30,8,1,-1,900s,0.526,173
kmeans,pca150_k8,150,btc,30s,30,8,2,-1,900s,0.6875,32
kmeans,pca150_k8,150,btc,30s,30,8,3,-1,900s,0.5152,396
kmeans,pca150_k8,150,btc,30s,30,8,5,-1,900s,0.5556,45
kmeans,pca150_k8,150,btc,30s,30,8,6,-1,900s,0.554,695
