method,pca,pca_dim,asset,hz,thr_bps,k,cluster,trade_dir,horizon,da_oos,n_test
kmeans,pca600_k8,600,eth,30s,30,8,0,-1,1s,0.5516,397
kmeans,pca600_k8,600,eth,30s,30,8,1,-1,1s,0.5353,482
kmeans,pca600_k8,600,eth,30s,30,8,2,1,1s,0.5028,1056
kmeans,pca600_k8,600,eth,30s,30,8,3,1,1s,0.3548,31
kmeans,pca600_k8,600,eth,30s,30,8,4,-1,1s,0.5366,246
kmeans,pca600_k8,600,eth,30s,30,8,5,-1,1s,0.5511,1789
kmeans,pca600_k8,600,eth,30s,30,8,7,1,1s,0.4857,488
kmeans,pca600_k8,600,eth,30s,30,8,0,-1,5s,0.5023,428
kmeans,pca600_k8,600,eth,30s,30,8,1,-1,5s,0.5192,495
kmeans,pca600_k8,600,eth,30s,30,8,2,1,5s,0.5078,1083
kmeans,pca600_k8,600,eth,30s,30,8,3,1,5s,0.4889,45
kmeans,pca600_k8,600,eth,30s,30,8,4,-1,5s,0.5587,247
kmeans,pca600_k8,600,eth,30s,30,8,5,-1,5s,0.5792,1901
kmeans,pca600_k8,600,eth,30s,30,8,7,1,5s,0.504,506
kmeans,pca600_k8,600,eth,30s,30,8,0,-1,15s,0.554,426
kmeans,pca600_k8,600,eth,30s,30,8,1,-1,15s,0.625,496
kmeans,pca600_k8,600,eth,30s,30,8,2,1,15s,0.4991,1084
kmeans,pca600_k8,600,eth,30s,30,8,3,1,15s,0.6364,44
kmeans,pca600_k8,600,eth,30s,30,8,4,-1,15s,0.6463,246
kmeans,pca600_k8,600,eth,30s,30,8,5,-1,15s,0.5877,1909
kmeans,pca600_k8,600,eth,30s,30,8,7,1,15s,0.439,508
kmeans,pca600_k8,600,eth,30s,30,8,0,-1,30s,0.5,428
kmeans,pca600_k8,600,eth,30s,30,8,1,-1,30s,0.6807,498
kmeans,pca600_k8,600,eth,30s,30,8,2,1,30s,0.4571,1085
kmeans,pca600_k8,600,eth,30s,30,8,3,1,30s,0.6444,45
kmeans,pca600_k8,600,eth,30s,30,8,4,-1,30s,0.6935,248
kmeans,pca600_k8,600,eth,30s,30,8,5,-1,30s,0.5603,1906
kmeans,pca600_k8,600,eth,30s,30,8,7,1,30s,0.4322,509
kmeans,pca600_k8,600,eth,30s,30,8,0,-1,60s,0.4543,427
kmeans,pca600_k8,600,eth,30s,30,8,1,-1,60s,0.6559,497
kmeans,pca600_k8,600,eth,30s,30,8,2,1,60s,0.4275,1083
kmeans,pca600_k8,600,eth,30s,30,8,3,1,60s,0.0606,33
kmeans,pca600_k8,600,eth,30s,30,8,4,-1,60s,0.6895,248
kmeans,pca600_k8,600,eth,30s,30,8,5,-1,60s,0.5506,1907
kmeans,pca600_k8,600,eth,30s,30,8,7,1,60s,0.449,510
kmeans,pca600_k8,600,eth,30s,30,8,0,-1,120s,0.5576,425
kmeans,pca600_k8,600,eth,30s,30,8,1,-1,120s,0.5714,497
kmeans,pca600_k8,600,eth,30s,30,8,2,1,120s,0.4792,1083
kmeans,pca600_k8,600,eth,30s,30,8,3,1,120s,0.6,20
kmeans,pca600_k8,600,eth,30s,30,8,4,-1,120s,0.496,248
kmeans,pca600_k8,600,eth,30s,30,8,5,-1,120s,0.5393,1895
kmeans,pca600_k8,600,eth,30s,30,8,7,1,120s,0.3405,511
kmeans,pca600_k8,600,eth,30s,30,8,0,-1,300s,0.5093,428
kmeans,pca600_k8,600,eth,30s,30,8,1,-1,300s,0.5694,497
kmeans,pca600_k8,600,eth,30s,30,8,2,1,300s,0.5631,1085
kmeans,pca600_k8,600,eth,30s,30,8,4,-1,300s,0.5726,248
kmeans,pca600_k8,600,eth,30s,30,8,5,-1,300s,0.5587,1890
kmeans,pca600_k8,600,eth,30s,30,8,7,1,300s,0.4373,510
kmeans,pca600_k8,600,eth,30s,30,8,0,-1,900s,0.5105,427
kmeans,pca600_k8,600,eth,30s,30,8,1,-1,900s,0.4889,497
kmeans,pca600_k8,600,eth,30s,30,8,2,1,900s,0.548,1084
kmeans,pca600_k8,600,eth,30s,30,8,3,1,900s,0.1111,45
kmeans,pca600_k8,600,eth,30s,30,8,4,-1,900s,0.5466,247
kmeans,pca600_k8,600,eth,30s,30,8,5,-1,900s,0.513,1889
kmeans,pca600_k8,600,eth,30s,30,8,7,1,900s,0.2779,511
