method,pca,asset,hz,thr_bps,k,cluster,trade_dir,n,window_s,mfe,mae,ratio
kmeans,pca50_k8,btc,30s,30,8,0,-1,696,15,1.539,1.753,0.878
kmeans,pca50_k8,btc,30s,30,8,0,-1,696,30,2.328,2.768,0.841
kmeans,pca50_k8,btc,30s,30,8,0,-1,696,60,3.288,4.505,0.73
kmeans,pca50_k8,btc,30s,30,8,0,-1,696,120,4.973,6.213,0.8
kmeans,pca50_k8,btc,30s,30,8,0,-1,696,300,8.456,9.615,0.879
kmeans,pca50_k8,btc,30s,30,8,1,-1,536,15,1.351,0.937,1.442
kmeans,pca50_k8,btc,30s,30,8,1,-1,536,30,2.255,1.509,1.495
kmeans,pca50_k8,btc,30s,30,8,1,-1,536,60,3.541,2.774,1.277
kmeans,pca50_k8,btc,30s,30,8,1,-1,536,120,5.599,4.347,1.288
kmeans,pca50_k8,btc,30s,30,8,1,-1,536,300,8.264,6.8,1.215
kmeans,pca50_k8,btc,30s,30,8,2,1,370,15,1.351,1.633,0.828
kmeans,pca50_k8,btc,30s,30,8,2,1,370,30,2.399,2.328,1.03
kmeans,pca50_k8,btc,30s,30,8,2,1,370,60,4.488,3.995,1.123
kmeans,pca50_k8,btc,30s,30,8,2,1,370,120,7.5,5.764,1.301
kmeans,pca50_k8,btc,30s,30,8,2,1,370,300,11.447,9.012,1.27
kmeans,pca50_k8,btc,30s,30,8,3,1,694,15,0.843,1.086,0.775
kmeans,pca50_k8,btc,30s,30,8,3,1,694,30,1.537,1.705,0.901
kmeans,pca50_k8,btc,30s,30,8,3,1,694,60,2.495,3.134,0.796
kmeans,pca50_k8,btc,30s,30,8,3,1,694,120,3.529,4.927,0.716
kmeans,pca50_k8,btc,30s,30,8,3,1,694,300,6.908,8.666,0.797
kmeans,pca50_k8,btc,30s,30,8,4,-1,155,15,1.729,1.022,1.692
kmeans,pca50_k8,btc,30s,30,8,4,-1,155,30,3.103,1.377,2.253
kmeans,pca50_k8,btc,30s,30,8,4,-1,155,60,5.917,1.662,3.561
kmeans,pca50_k8,btc,30s,30,8,4,-1,155,120,10.18,2.282,4.461
kmeans,pca50_k8,btc,30s,30,8,4,-1,155,300,14.664,3.044,4.818
kmeans,pca50_k8,btc,30s,30,8,5,-1,655,15,1.377,1.388,0.992
kmeans,pca50_k8,btc,30s,30,8,5,-1,655,30,2.222,2.065,1.076
kmeans,pca50_k8,btc,30s,30,8,5,-1,655,60,3.944,2.735,1.442
kmeans,pca50_k8,btc,30s,30,8,5,-1,655,120,6.27,3.912,1.602
kmeans,pca50_k8,btc,30s,30,8,5,-1,655,300,9.112,7.541,1.208
kmeans,pca50_k8,btc,30s,30,8,6,-1,1054,15,1.265,1.01,1.253
kmeans,pca50_k8,btc,30s,30,8,6,-1,1054,30,2.226,1.642,1.356
kmeans,pca50_k8,btc,30s,30,8,6,-1,1054,60,3.365,2.319,1.451
kmeans,pca50_k8,btc,30s,30,8,6,-1,1054,120,5.173,3.637,1.422
kmeans,pca50_k8,btc,30s,30,8,6,-1,1054,300,8.947,6.898,1.297
kmeans,pca50_k8,btc,30s,30,8,7,1,37,15,1.418,0.815,1.74
kmeans,pca50_k8,btc,30s,30,8,7,1,37,30,3.536,1.154,3.064
kmeans,pca50_k8,btc,30s,30,8,7,1,37,60,5.886,1.533,3.838
kmeans,pca50_k8,btc,30s,30,8,7,1,37,120,5.978,2.296,2.604
kmeans,pca50_k8,btc,30s,30,8,7,1,37,300,7.161,6.963,1.028
