method,pca,asset,hz,thr_bps,k,cluster,trade_dir,n,window_s,mfe,mae,ratio
kmeans,pca50_k8,eth,30s,30,8,0,-1,1138,15,1.703,1.947,0.875
kmeans,pca50_k8,eth,30s,30,8,0,-1,1138,30,2.918,3.023,0.965
kmeans,pca50_k8,eth,30s,30,8,0,-1,1138,60,5.208,5.17,1.007
kmeans,pca50_k8,eth,30s,30,8,0,-1,1138,120,8.134,7.479,1.087
kmeans,pca50_k8,eth,30s,30,8,0,-1,1138,300,12.913,11.59,1.114
kmeans,pca50_k8,eth,30s,30,8,1,-1,1239,15,1.423,1.366,1.042
kmeans,pca50_k8,eth,30s,30,8,1,-1,1239,30,2.456,2.125,1.156
kmeans,pca50_k8,eth,30s,30,8,1,-1,1239,60,3.507,4.072,0.861
kmeans,pca50_k8,eth,30s,30,8,1,-1,1239,120,5.482,6.825,0.803
kmeans,pca50_k8,eth,30s,30,8,1,-1,1239,300,8.621,11.392,0.757
kmeans,pca50_k8,eth,30s,30,8,2,-1,2583,15,1.827,1.77,1.032
kmeans,pca50_k8,eth,30s,30,8,2,-1,2583,30,3.135,2.8,1.12
kmeans,pca50_k8,eth,30s,30,8,2,-1,2583,60,4.77,4.42,1.079
kmeans,pca50_k8,eth,30s,30,8,2,-1,2583,120,6.903,6.416,1.076
kmeans,pca50_k8,eth,30s,30,8,2,-1,2583,300,11.782,11.469,1.027
kmeans,pca50_k8,eth,30s,30,8,3,-1,2669,15,1.518,1.624,0.935
kmeans,pca50_k8,eth,30s,30,8,3,-1,2669,30,2.64,2.549,1.036
kmeans,pca50_k8,eth,30s,30,8,3,-1,2669,60,4.179,4.054,1.031
kmeans,pca50_k8,eth,30s,30,8,3,-1,2669,120,6.259,6.157,1.017
kmeans,pca50_k8,eth,30s,30,8,3,-1,2669,300,11.124,10.211,1.089
kmeans,pca50_k8,eth,30s,30,8,4,-1,1831,15,1.988,1.689,1.177
kmeans,pca50_k8,eth,30s,30,8,4,-1,1831,30,3.226,2.672,1.207
kmeans,pca50_k8,eth,30s,30,8,4,-1,1831,60,4.855,4.118,1.179
kmeans,pca50_k8,eth,30s,30,8,4,-1,1831,120,6.937,6.003,1.156
kmeans,pca50_k8,eth,30s,30,8,4,-1,1831,300,10.942,9.594,1.141
kmeans,pca50_k8,eth,30s,30,8,5,-1,2094,15,1.515,1.785,0.848
kmeans,pca50_k8,eth,30s,30,8,5,-1,2094,30,2.514,2.8,0.898
kmeans,pca50_k8,eth,30s,30,8,5,-1,2094,60,3.992,4.387,0.91
kmeans,pca50_k8,eth,30s,30,8,5,-1,2094,120,6.514,6.775,0.961
kmeans,pca50_k8,eth,30s,30,8,5,-1,2094,300,12.128,13.007,0.932
kmeans,pca50_k8,eth,30s,30,8,7,1,292,15,1.317,1.371,0.96
kmeans,pca50_k8,eth,30s,30,8,7,1,292,30,2.057,2.05,1.004
kmeans,pca50_k8,eth,30s,30,8,7,1,292,60,3.259,4.049,0.805
kmeans,pca50_k8,eth,30s,30,8,7,1,292,120,5.652,6.451,0.876
kmeans,pca50_k8,eth,30s,30,8,7,1,292,300,8.626,10.959,0.787
