cluster,n,rank,feature,bare_name,family,bundle,z_score,cluster_mean,global_mean
0,875,1,broke_prev_day_low_900s_fut_eth,broke_prev_day_low_900s_fut,Level Events,B6_context,2.4745,0.771429,0.084219
0,875,2,broke_prev_day_low_900s_fut_btc,broke_prev_day_low_900s_fut,Level Events,B6_context,2.3599,0.713143,0.078486
0,875,3,broke_prev_day_low_300s_fut_eth,broke_prev_day_low_300s_fut,Level Events,B6_context,2.0878,0.565714,0.062047
0,875,4,below_prev_day_low_fut_eth,below_prev_day_low_fut,Level Events,B6_context,2.0024,0.923429,0.17046
0,875,5,broke_prev_day_low_300s_fut_btc,broke_prev_day_low_300s_fut,Level Events,B6_context,1.8651,0.468571,0.052521
0,875,6,queue_pressure_spot_10bps_60s_eth,queue_pressure_spot_10bps_60s,Pressure,B1_imbalance,1.8632,0.258576,-0.014566
0,875,7,median_queue_pressure_spot_10bps_60s_eth,median_queue_pressure_spot_10bps_60s,Dynamics,B5_dynamics,1.8576,0.257356,-0.009969
0,875,8,net_cancel_spot_5bps_900s_btc,net_cancel_spot_5bps_900s,Pressure,B1_imbalance,-1.7961,-65291568.0,-274158.3125
0,875,9,below_prev_day_low_fut_btc,below_prev_day_low_fut,Level Events,B6_context,1.7859,0.819429,0.161777
0,875,10,median_queue_pressure_spot_10bps_15s_eth,median_queue_pressure_spot_10bps_15s,Dynamics,B5_dynamics,1.7279,0.262345,-0.016385
0,875,11,price_vs_ema_50_5m_bps_fut_eth,price_vs_ema_50_5m_bps_fut,Trend,B6_context,-1.7182,-240.012283,51.531567
0,875,12,queue_pressure_spot_10bps_15s_eth,queue_pressure_spot_10bps_15s,Pressure,B1_imbalance,1.689,0.265195,-0.017644
0,875,13,median_queue_pressure_spot_5bps_60s_eth,median_queue_pressure_spot_5bps_60s,Dynamics,B5_dynamics,1.5943,0.235643,-0.015484
0,875,14,price_vs_ema_50_15m_bps_fut_eth,price_vs_ema_50_15m_bps_fut,Trend,B6_context,-1.545,-272.916809,75.111
0,875,15,queue_pressure_spot_5bps_60s_eth,queue_pressure_spot_5bps_60s,Pressure,B1_imbalance,1.5125,0.221805,-0.019169
0,875,16,queue_pressure_spot_10bps_15s_btc,queue_pressure_spot_10bps_15s,Pressure,B1_imbalance,1.5121,0.199668,-0.024956
0,875,17,queue_pressure_spot_10bps_5s_eth,queue_pressure_spot_10bps_5s,Pressure,B1_imbalance,1.5011,0.266552,-0.018448
0,875,18,price_vs_ema_200_5m_bps_fut_eth,price_vs_ema_200_5m_bps_fut,Trend,B6_context,-1.4811,-277.260773,82.546432
0,875,19,queue_pressure_spot_10bps_60s_btc,queue_pressure_spot_10bps_60s,Pressure,B1_imbalance,1.4795,0.171781,-0.023031
0,875,20,net_cancel_spot_10bps_60s_eth,net_cancel_spot_10bps_60s,Pressure,B1_imbalance,-1.4729,-4975632.5,320905.34375
0,875,21,net_cancel_spot_10bps_60s_btc,net_cancel_spot_10bps_60s,Pressure,B1_imbalance,-1.4534,-11341918.0,907087.375
0,875,22,median_queue_pressure_spot_10bps_15s_btc,median_queue_pressure_spot_10bps_15s,Dynamics,B5_dynamics,1.4498,0.185573,-0.022861
0,875,23,queue_pressure_spot_10bps_5s_btc,queue_pressure_spot_10bps_5s,Pressure,B1_imbalance,1.4316,0.210537,-0.027399
0,875,24,net_cancel_spot_5bps_900s_eth,net_cancel_spot_5bps_900s,Pressure,B1_imbalance,-1.3939,-19415444.0,1080049.5
0,875,25,median_queue_pressure_spot_10bps_60s_btc,median_queue_pressure_spot_10bps_60s,Dynamics,B5_dynamics,1.3916,0.155601,-0.021172
0,875,26,trend_aligned_15m_fut_btc,trend_aligned_15m_fut,Trend,B6_context,-1.3253,-0.810286,0.242202
0,875,27,queue_pressure_spot_5bps_60s_btc,queue_pressure_spot_5bps_60s,Pressure,B1_imbalance,1.303,0.192492,-0.032977
0,875,28,price_vs_ema_200_15m_bps_fut_eth,price_vs_ema_200_15m_bps_fut,Trend,B6_context,-1.2978,-287.726227,108.852501
0,875,29,price_vs_ema_50_60m_bps_fut_eth,price_vs_ema_50_60m_bps_fut,Trend,B6_context,-1.2978,-287.726227,108.852501
0,875,30,net_cancel_spot_5bps_60s_eth,net_cancel_spot_5bps_60s,Pressure,B1_imbalance,-1.2939,-3247351.0,257883.609375
0,875,31,net_cancel_pressure_spot_5bps_60s_eth,net_cancel_pressure_spot_5bps_60s,Pressure,B1_imbalance,-1.2939,-54122.527344,4298.043457
0,875,32,volume_fut_900s_eth,volume_fut_900s,Activity,B3_flow,1.292,12.789644,11.859464
0,875,33,basis_vwap_sf_900s_eth,basis_vwap_sf_900s,Cross-Market,B4_cross_market,-1.2805,-1.27147,-1.037901
0,875,34,median_queue_pressure_spot_5bps_15s_eth,median_queue_pressure_spot_5bps_15s,Dynamics,B5_dynamics,1.2783,0.207418,-0.022435
0,875,35,volume_fut_300s_eth,volume_fut_300s,Activity,B3_flow,1.2764,12.083992,11.162187
0,875,36,net_cancel_pressure_spot_5bps_60s_btc,net_cancel_pressure_spot_5bps_60s,Pressure,B1_imbalance,-1.2682,-118324.046875,11840.129883
0,875,37,net_cancel_spot_5bps_60s_btc,net_cancel_spot_5bps_60s,Pressure,B1_imbalance,-1.2681,-7099445.0,710409.3125
0,875,38,median_queue_pressure_spot_5bps_60s_btc,median_queue_pressure_spot_5bps_60s,Dynamics,B5_dynamics,1.2668,0.177776,-0.03182
0,875,39,queue_pressure_spot_5bps_15s_btc,queue_pressure_spot_5bps_15s,Pressure,B1_imbalance,1.257,0.217944,-0.033483
0,875,40,range_pos_fut_3600s_eth,range_pos_fut_3600s,Range,B6_context,-1.2417,0.095568,0.584684
0,875,41,trend_aligned_60m_fut_eth,trend_aligned_60m_fut,Trend,B6_context,-1.2379,-0.673143,0.253077
0,875,42,trend_aligned_15m_fut_eth,trend_aligned_15m_fut,Trend,B6_context,-1.2325,-0.820571,0.14753
0,875,43,median_queue_pressure_spot_5bps_15s_btc,median_queue_pressure_spot_5bps_15s,Dynamics,B5_dynamics,1.2307,0.206946,-0.031968
0,875,44,broke_prev_day_low_60s_fut_eth,broke_prev_day_low_60s_fut,Level Events,B6_context,1.2067,0.259429,0.03566
0,875,45,queue_pressure_spot_5bps_15s_eth,queue_pressure_spot_5bps_15s,Pressure,B1_imbalance,1.2026,0.198478,-0.024577
0,875,46,volume_spot_300s_eth,volume_spot_300s,Activity,B3_flow,1.1957,9.509801,8.582376
0,875,47,ema_slope_50_15m_bps_fut_btc,ema_slope_50_15m_bps_fut,Trend,B6_context,-1.1918,-4.688359,1.789238
0,875,48,volume_spot_900s_eth,volume_spot_900s,Activity,B3_flow,1.1886,10.201145,9.288676
0,875,49,net_cancel_spot_2bps_60s_btc,net_cancel_spot_2bps_60s,Pressure,B1_imbalance,-1.1837,-4948604.0,1006495.375
0,875,50,net_cancel_pressure_spot_2bps_60s_btc,net_cancel_pressure_spot_2bps_60s,Pressure,B1_imbalance,-1.1837,-82476.703125,16774.912109
1,1346,1,price_vs_ema_200_5m_bps_fut_eth,price_vs_ema_200_5m_bps_fut,Trend,B6_context,1.2279,380.842834,82.546432
1,1346,2,price_vs_ema_50_15m_bps_fut_eth,price_vs_ema_50_15m_bps_fut,Trend,B6_context,1.2162,349.08017,75.111
1,1346,3,refill_rate_fut_5bps_60s_eth,refill_rate_fut_5bps_60s,Liquidity Events,B3_flow,1.2032,0.169268,0.121582
1,1346,4,price_vs_ema_50_5m_bps_fut_eth,price_vs_ema_50_5m_bps_fut,Trend,B6_context,1.1839,252.411011,51.531567
1,1346,5,pull_rate_spot_2bps_60s_btc,pull_rate_spot_2bps_60s,Liquidity Events,B3_flow,1.1759,0.447832,0.301961
1,1346,6,refill_rate_spot_5bps_60s_eth,refill_rate_spot_5bps_60s,Liquidity Events,B3_flow,1.174,0.175117,0.129207
1,1346,7,refill_rate_fut_5bps_60s_btc,refill_rate_fut_5bps_60s,Liquidity Events,B3_flow,1.165,0.143699,0.103932
1,1346,8,price_vs_ema_50_60m_bps_fut_eth,price_vs_ema_50_60m_bps_fut,Trend,B6_context,1.1598,463.287506,108.852501
1,1346,9,price_vs_ema_200_15m_bps_fut_eth,price_vs_ema_200_15m_bps_fut,Trend,B6_context,1.1598,463.287506,108.852501
1,1346,10,refill_rate_fut_10bps_60s_btc,refill_rate_fut_10bps_60s,Liquidity Events,B3_flow,1.1512,0.08605,0.059119
1,1346,11,refill_rate_spot_10bps_60s_eth,refill_rate_spot_10bps_60s,Liquidity Events,B3_flow,1.1472,0.102066,0.07208
