method,pca_tag,asset,hz,thr_bps,k,n_events,n_clusters,silhouette
kmeans,pca50_k6,btc,30s,10,6,128908,6,0.0401
kmeans,pca150_k6,btc,30s,10,6,128908,6,0.0221
kmeans,pca300_k6,btc,30s,10,6,128908,6,0.0133
kmeans,pca600_k6,btc,30s,10,6,128908,6,0.0088
kmeans,pca50_k6,btc,30s,15,6,41684,6,0.0367
kmeans,pca150_k6,btc,30s,15,6,41684,6,0.0106
kmeans,pca300_k6,btc,30s,15,6,41684,6,0.0008
kmeans,pca600_k6,btc,30s,15,6,41684,6,-0.0057
kmeans,pca50_k6,btc,30s,20,6,17007,6,0.0467
kmeans,pca150_k6,btc,30s,20,6,17007,6,0.0234
kmeans,pca300_k6,btc,30s,20,6,17007,6,0.0132
kmeans,pca600_k6,btc,30s,20,6,17007,6,0.0078
kmeans,pca50_k6,btc,30s,30,6,4197,6,0.0568
kmeans,pca150_k6,btc,30s,30,6,4197,6,0.0324
kmeans,pca300_k6,btc,30s,30,6,4197,6,0.0067
kmeans,pca600_k6,btc,30s,30,6,4197,6,0.0261
kmeans,pca50_k6,btc,30s,40,6,1219,6,0.1099
kmeans,pca150_k6,btc,30s,40,6,1219,6,0.0723
kmeans,pca300_k6,btc,30s,40,6,1219,6,0.0537
kmeans,pca600_k6,btc,30s,40,6,1219,6,0.0517
kmeans,pca50_k8,btc,30s,10,8,128908,8,0.0374
kmeans,pca150_k8,btc,30s,10,8,128908,8,0.0195
kmeans,pca300_k8,btc,30s,10,8,128908,8,0.0104
kmeans,pca600_k8,btc,30s,10,8,128908,8,0.0055
kmeans,pca50_k8,btc,30s,15,8,41684,8,0.0323
kmeans,pca150_k8,btc,30s,15,8,41684,8,0.0106
kmeans,pca300_k8,btc,30s,15,8,41684,8,0.0015
kmeans,pca600_k8,btc,30s,15,8,41684,8,-0.0045
kmeans,pca50_k8,btc,30s,20,8,17007,8,0.0408
kmeans,pca150_k8,btc,30s,20,8,17007,8,0.0160
kmeans,pca300_k8,btc,30s,20,8,17007,8,0.0059
kmeans,pca600_k8,btc,30s,20,8,17007,8,-0.0009
kmeans,pca50_k8,btc,30s,30,8,4197,8,0.0573
kmeans,pca150_k8,btc,30s,30,8,4197,8,0.0403
kmeans,pca300_k8,btc,30s,30,8,4197,8,0.0182
kmeans,pca600_k8,btc,30s,30,8,4197,8,0.0080
kmeans,pca50_k8,btc,30s,40,8,1219,8,0.0973
kmeans,pca150_k8,btc,30s,40,8,1219,8,0.0592
kmeans,pca300_k8,btc,30s,40,8,1219,8,0.0525
kmeans,pca600_k8,btc,30s,40,8,1219,8,0.0639
kmeans,pca50_k10,btc,30s,10,10,128908,10,0.0362
kmeans,pca150_k10,btc,30s,10,10,128908,10,0.0176
kmeans,pca300_k10,btc,30s,10,10,128908,10,0.0097
kmeans,pca600_k10,btc,30s,10,10,128908,10,0.0046
kmeans,pca50_k10,btc,30s,15,10,41684,10,0.0360
kmeans,pca150_k10,btc,30s,15,10,41684,10,0.0146
kmeans,pca300_k10,btc,30s,15,10,41684,10,0.0067
kmeans,pca600_k10,btc,30s,15,10,41684,10,0.0034
kmeans,pca50_k10,btc,30s,20,10,17007,10,0.0345
kmeans,pca150_k10,btc,30s,20,10,17007,10,0.0153
kmeans,pca300_k10,btc,30s,20,10,17007,10,0.0090
kmeans,pca600_k10,btc,30s,20,10,17007,10,0.0018
kmeans,pca50_k10,btc,30s,30,10,4197,10,0.0473
kmeans,pca150_k10,btc,30s,30,10,4197,10,0.0207
kmeans,pca300_k10,btc,30s,30,10,4197,10,0.0128
kmeans,pca600_k10,btc,30s,30,10,4197,10,0.0089
kmeans,pca50_k10,btc,30s,40,10,1219,10,0.0596
kmeans,pca150_k10,btc,30s,40,10,1219,10,0.0276
kmeans,pca300_k10,btc,30s,40,10,1219,10,0.0207
kmeans,pca600_k10,btc,30s,40,10,1219,10,0.0180
