method,pca_tag,asset,hz,thr_bps,k,n_events,n_clusters,silhouette
kmeans,pca50_k6,eth,30s,10,6,216665,6,0.0460
kmeans,pca150_k6,eth,30s,10,6,216665,6,0.0255
kmeans,pca300_k6,eth,30s,10,6,216665,6,0.0166
kmeans,pca600_k6,eth,30s,10,6,216665,6,0.0105
kmeans,pca50_k6,eth,30s,15,6,82931,6,0.0382
kmeans,pca150_k6,eth,30s,15,6,82931,6,0.0159
kmeans,pca300_k6,eth,30s,15,6,82931,6,0.0075
kmeans,pca600_k6,eth,30s,15,6,82931,6,0.0020
kmeans,pca50_k6,eth,30s,20,6,38681,6,0.0521
kmeans,pca150_k6,eth,30s,20,6,38681,6,0.0121
kmeans,pca300_k6,eth,30s,20,6,38681,6,0.0034
kmeans,pca600_k6,eth,30s,20,6,38681,6,0.0010
kmeans,pca50_k6,eth,30s,30,6,11862,6,0.0516
kmeans,pca150_k6,eth,30s,30,6,11862,6,0.0161
kmeans,pca300_k6,eth,30s,30,6,11862,6,0.0232
kmeans,pca600_k6,eth,30s,30,6,11862,6,0.0050
kmeans,pca50_k6,eth,30s,40,6,4243,6,0.0618
kmeans,pca150_k6,eth,30s,40,6,4243,6,0.0365
kmeans,pca300_k6,eth,30s,40,6,4243,6,0.0171
kmeans,pca600_k6,eth,30s,40,6,4243,6,0.0221
kmeans,pca50_k8,eth,30s,10,8,216665,8,0.0340
kmeans,pca150_k8,eth,30s,10,8,216665,8,0.0222
kmeans,pca300_k8,eth,30s,10,8,216665,8,0.0125
kmeans,pca600_k8,eth,30s,10,8,216665,8,-0.0022
kmeans,pca50_k8,eth,30s,15,8,82931,8,0.0335
kmeans,pca150_k8,eth,30s,15,8,82931,8,0.0185
kmeans,pca300_k8,eth,30s,15,8,82931,8,0.0029
kmeans,pca600_k8,eth,30s,15,8,82931,8,-0.0029
kmeans,pca50_k8,eth,30s,20,8,38681,8,0.0434
kmeans,pca150_k8,eth,30s,20,8,38681,8,0.0196
kmeans,pca300_k8,eth,30s,20,8,38681,8,0.0081
kmeans,pca600_k8,eth,30s,20,8,38681,8,0.0001
kmeans,pca50_k8,eth,30s,30,8,11862,8,0.0411
kmeans,pca150_k8,eth,30s,30,8,11862,8,0.0074
kmeans,pca300_k8,eth,30s,30,8,11862,8,0.0051
kmeans,pca600_k8,eth,30s,30,8,11862,8,-0.0027
kmeans,pca50_k8,eth,30s,40,8,4243,8,0.0515
kmeans,pca150_k8,eth,30s,40,8,4243,8,0.0324
kmeans,pca300_k8,eth,30s,40,8,4243,8,0.0108
kmeans,pca600_k8,eth,30s,40,8,4243,8,0.0158
kmeans,pca50_k10,eth,30s,10,10,216666,10,0.0370
kmeans,pca150_k10,eth,30s,10,10,216666,10,0.0162
kmeans,pca300_k10,eth,30s,10,10,216666,10,0.0085
kmeans,pca600_k10,eth,30s,10,10,216666,10,0.0016
kmeans,pca50_k10,eth,30s,15,10,82931,10,0.0388
kmeans,pca150_k10,eth,30s,15,10,82931,10,0.0187
kmeans,pca300_k10,eth,30s,15,10,82931,10,0.0108
kmeans,pca600_k10,eth,30s,15,10,82931,10,0.0048
kmeans,pca50_k10,eth,30s,20,10,38681,10,0.0363
kmeans,pca150_k10,eth,30s,20,10,38681,10,0.0185
kmeans,pca300_k10,eth,30s,20,10,38681,10,0.0107
kmeans,pca600_k10,eth,30s,20,10,38681,10,0.0031
kmeans,pca50_k10,eth,30s,30,10,11862,10,0.0398
kmeans,pca150_k10,eth,30s,30,10,11862,10,0.0169
kmeans,pca300_k10,eth,30s,30,10,11862,10,0.0035
kmeans,pca600_k10,eth,30s,30,10,11862,10,-0.0014
kmeans,pca50_k10,eth,30s,40,10,4243,10,0.0383
kmeans,pca150_k10,eth,30s,40,10,4243,10,0.0135
kmeans,pca300_k10,eth,30s,40,10,4243,10,0.0091
kmeans,pca600_k10,eth,30s,40,10,4243,10,-0.0014
