asset,hz,thr,pca,k,cluster,trade_dir,n,ratio_15,ratio_30,ratio_60,ratio_120,ratio_300,DA_win,DA_60,DA_max,n_test
btc,30s,30,300,6,3,-1,809,0.846,0.993,1.146,0.948,0.773,0.7381,0.7778,0.864,126.0
btc,30s,30,600,8,5,-1,1075,1.177,1.256,1.358,1.365,1.285,0.7333,0.7333,0.7333,180.0
eth,30s,30,300,8,1,-1,1346,1.318,1.348,1.033,0.882,0.807,0.7317,0.7805,0.7805,123.0
btc,30s,40,50,8,2,-1,285,0.774,0.856,1.207,1.519,1.358,0.697,0.7576,0.7576,132.0
btc,5s,15,600,8,0,-1,311,1.129,1.325,1.363,1.398,1.253,0.6833,0.4344,0.6833,120.0
eth,30s,30,600,8,1,-1,2643,0.949,1.049,1.038,1.014,1.072,0.6807,0.6559,0.6807,498.0
eth,30s,30,50,8,3,-1,2669,0.935,1.036,1.031,1.017,1.089,0.6719,0.6398,0.6719,509.0
eth,30s,40,50,8,7,-1,874,1.27,1.453,1.352,1.012,0.924,0.6643,0.6923,0.6923,143.0
eth,30s,40,300,8,1,-1,1096,0.758,0.948,1.021,1.028,1.065,0.6642,0.3869,0.6642,137.0
eth,30s,40,150,8,3,-1,831,0.736,0.98,1.013,0.935,0.957,0.6538,0.5449,0.6538,156.0
eth,15s,30,150,10,1,-1,763,0.835,0.912,1.071,1.268,1.259,0.6379,0.6822,0.6822,580.0
eth,15s,30,600,8,0,-1,802,0.946,1.013,1.046,1.118,1.172,0.6328,0.625,0.6328,591.0
btc,5s,15,300,8,0,-1,319,1.295,1.489,1.475,1.452,1.331,0.6308,0.5408,0.6308,195.0
btc,5s,15,150,8,7,-1,296,1.225,1.457,1.447,1.416,1.294,0.63,0.5174,0.63,200.0
eth,30s,40,150,8,6,-1,887,1.3,1.463,1.395,1.051,0.987,0.6299,0.6535,0.6535,127.0
eth,30s,40,150,8,7,-1,572,1.051,1.201,1.073,0.887,1.068,0.6262,0.6234,0.657,412.0
btc,15s,15,300,10,2,-1,1494,0.956,1.0,1.054,1.04,1.116,0.6225,0.5221,0.6225,249.0
eth,15s,30,50,10,3,-1,789,0.795,0.905,1.023,1.142,1.192,0.6213,0.625,0.625,647.0
eth,15s,15,150,10,4,-1,3872,0.814,0.949,1.049,1.086,1.105,0.6205,0.589,0.6205,3001.0
eth,15s,15,150,8,2,-1,4720,0.837,0.956,1.039,1.071,1.09,0.6204,0.6002,0.6204,3406.0
eth,15s,15,300,10,4,-1,4163,0.825,0.957,1.038,1.067,1.087,0.6198,0.5886,0.6198,3209.0
eth,15s,20,600,8,2,-1,2730,0.815,0.94,1.032,1.052,1.083,0.6197,0.5832,0.6197,1946.0
eth,5s,20,150,10,2,-1,250,1.017,1.251,1.257,1.276,1.07,0.6196,0.5091,0.6196,163.0
eth,15s,15,600,8,3,-1,4544,0.833,0.953,1.041,1.067,1.091,0.6189,0.5945,0.6189,3356.0
eth,15s,30,300,10,8,-1,783,0.817,0.911,1.005,1.107,1.179,0.6185,0.5982,0.6185,671.0
btc,15s,15,50,10,8,-1,1512,1.011,1.044,1.065,1.052,1.105,0.6183,0.5208,0.6183,241.0
eth,15s,15,50,10,3,-1,3776,0.819,0.949,1.041,1.082,1.112,0.6174,0.6022,0.6174,2833.0
eth,15s,15,50,8,1,-1,4760,0.844,0.958,1.041,1.078,1.1,0.6155,0.5983,0.6155,3391.0
btc,30s,30,300,8,6,-1,1047,1.348,1.481,1.349,1.375,1.418,0.6115,0.5869,0.6115,260.0
eth,15s,15,300,8,0,-1,4334,0.895,1.003,1.042,1.04,1.056,0.6092,0.5966,0.6092,2881.0
eth,5s,20,50,10,1,-1,253,1.094,1.253,1.22,1.2,1.068,0.6074,0.5122,0.6074,163.0
eth,5s,10,50,10,3,-1,2731,0.948,1.029,1.003,0.985,1.036,0.6028,0.5603,0.6028,1561.0
eth,5s,20,600,8,6,-1,439,1.013,1.073,1.071,1.011,1.055,0.6024,0.5408,0.6292,327.0
eth,5s,10,50,8,0,-1,3580,0.973,1.05,1.039,1.019,1.045,0.6024,0.5553,0.6024,2007.0
eth,5s,10,600,8,7,-1,3172,0.946,1.018,1.016,1.004,1.043,0.6,0.5474,0.6,1505.0
btc,30s,30,150,6,0,-1,902,0.657,0.761,1.007,1.217,1.21,0.5989,0.4659,0.5989,177.0
eth,5s,20,150,8,0,-1,393,0.9,1.022,1.012,0.997,1.037,0.5978,0.5222,0.5978,184.0
eth,30s,30,150,8,7,-1,2296,1.197,1.227,1.111,0.975,0.932,0.5976,0.5706,0.5994,333.0
btc,30s,20,150,8,2,-1,3220,1.005,1.136,1.17,1.165,1.198,0.5972,0.5453,0.5979,581.0
btc,15s,15,600,10,3,-1,2111,0.807,0.907,1.025,1.054,1.109,0.5949,0.5825,0.5981,316.0
eth,5s,20,300,8,4,-1,410,0.943,1.074,1.052,1.026,1.066,0.5947,0.5053,0.5947,190.0
btc,15s,30,600,6,0,-1,276,0.711,0.771,1.024,1.174,0.876,0.5947,0.6178,0.6178,227.0
btc,5s,10,300,8,1,-1,1524,0.966,1.06,1.123,1.119,1.08,0.5942,0.5404,0.5942,791.0
eth,30s,30,150,6,3,-1,2591,0.947,1.056,1.01,1.014,0.804,0.5937,0.5499,0.5937,411.0
eth,5s,15,150,8,2,-1,658,0.9,1.054,1.139,1.156,1.084,0.5931,0.6138,0.6138,494.0
