asset,hz,thr_bps,pca_dim,k,perm_best_ratio,perm_p,null_ratio_p50,null_ratio_p95,null_ratio_p99,n_perm,bh_q,above_null_p95,above_null_p99
btc,15s,10,150,10,1.058,0.2398,1.037,1.101,1.149,1000,0.38687999999999995,False,False
btc,15s,15,150,10,1.347,0.032,1.106,1.305,1.411,1000,0.11568539325842699,True,False
btc,15s,20,150,10,2.887,0.003,1.2,1.714,2.142,1000,0.019914893617021277,True,True
btc,15s,30,150,10,1.523,0.4625,1.497,2.31,2.798,1000,0.5818548387096775,False,False
btc,1s,10,150,6,0.957,0.7293,1.025,1.317,1.428,1000,0.7792520547945205,False,False
btc,30s,10,150,10,1.002,0.6264,1.006,1.05,1.075,1000,0.7030100719424459,False,False
btc,30s,15,150,10,1.012,0.8621,1.036,1.145,1.206,1000,0.902601342281879,False,False
btc,30s,20,150,10,1.606,0.003,1.062,1.297,1.434,1000,0.019914893617021277,True,True
btc,30s,30,150,10,8.479,0.001,1.223,1.823,2.305,1000,0.008432432432432432,True,True
btc,30s,40,150,10,2.397,0.001,1.185,1.59,1.841,1000,0.008432432432432432,True,True
btc,5s,10,150,10,1.134,0.2887,1.095,1.272,1.461,1000,0.430977990430622,False,False
btc,5s,15,150,10,6.039,0.001,1.231,1.912,2.637,1000,0.008432432432432432,True,True
btc,5s,20,150,6,1.727,0.03,1.245,1.61,1.945,1000,0.11277108433734939,True,False
eth,15s,10,150,10,1.003,0.5864,1.011,1.21,1.295,1000,0.6758857142857143,False,False
eth,15s,15,150,10,1.075,0.4336,1.057,1.55,1.891,1000,0.5673439330543933,False,False
eth,15s,20,150,10,1.225,0.008,1.041,1.143,1.211,1000,0.043789473684210524,True,True
eth,15s,30,150,10,1.13,0.5694,1.149,1.732,2.171,1000,0.6653662921348316,False,False
eth,15s,40,150,10,3.681,0.001,1.341,1.961,2.49,1000,0.008432432432432432,True,True
eth,1s,10,150,10,0.923,0.9191,1.008,1.259,1.408,1000,0.9495337748344371,False,False
eth,1s,15,150,6,1.095,0.2537,1.033,1.218,1.317,1000,0.39577199999999996,False,False
eth,30s,10,150,10,1.006,0.6454,1.019,1.213,1.324,1000,0.7140595744680851,False,False
eth,30s,15,150,10,1.048,0.4496,1.036,1.423,1.582,1000,0.5766315789473684,False,False
eth,30s,20,150,10,1.17,0.3257,1.072,1.714,2.257,1000,0.4675706422018348,False,False
eth,30s,30,150,10,1.026,0.7832,1.076,1.295,1.43,1000,0.8283335593220339,False,False
eth,30s,40,150,10,1.016,0.989,1.185,1.596,1.914,1000,0.9953806451612903,False,False
eth,5s,10,150,10,1.356,0.1888,1.092,1.813,2.422,1000,0.34726956521739133,False,False
eth,5s,15,150,10,1.189,0.2028,1.115,1.316,1.449,1000,0.34726956521739133,False,False
eth,5s,20,150,10,1.951,0.022,1.243,1.749,2.167,1000,0.09533333333333333,True,False
btc,15s,10,150,6,1.136,0.1089,0.847,1.213,1.29,1000,0.231134693877551,False,False
btc,15s,15,150,6,3.024,0.001,1.336,1.481,1.581,1000,0.008432432432432432,True,True
btc,15s,20,150,6,2.932,0.027,1.544,2.456,3.639,1000,0.10529999999999999,True,False
btc,15s,30,150,6,12.085,0.001,1.697,2.696,3.493,1000,0.008432432432432432,True,True
btc,30s,10,150,6,0.974,0.0629,0.913,0.98,1.081,1000,0.173670796460177,False,False
btc,30s,15,150,6,1.02,0.0649,0.891,1.041,1.196,1000,0.17762105263157893,False,False
btc,30s,20,150,6,1.348,0.01,0.917,1.162,1.324,1000,0.049523809523809526,True,True
btc,30s,30,150,6,2.097,0.001,1.1,1.419,1.674,1000,0.008432432432432432,True,True
btc,30s,40,150,6,0.766,0.982,1.018,2.01,3.173,1000,0.9915339805825243,False,False
btc,5s,10,150,6,1.374,0.2278,1.063,2.024,2.56,1000,0.3780510638297872,False,False
btc,5s,15,150,6,0.787,0.4545,0.779,1.539,1.765,1000,0.5766315789473684,False,False
eth,15s,10,150,6,1.314,0.033,0.903,1.245,1.387,1000,0.11568539325842699,True,False
eth,15s,15,150,6,1.25,0.025,0.863,1.114,1.302,1000,0.10400000000000001,True,False
eth,15s,20,150,6,1.078,0.1938,0.851,1.329,1.449,1000,0.34726956521739133,False,False
eth,15s,30,150,6,1.867,0.001,0.76,1.452,1.592,1000,0.008432432432432432,True,True
eth,15s,40,150,6,3.284,0.022,1.523,2.648,3.671,1000,0.09533333333333333,True,False
eth,1s,10,150,6,1.012,0.3786,0.961,1.435,1.705,1000,0.5113558441558441,False,False
eth,30s,10,150,6,1.06,0.0629,0.893,1.087,1.23,1000,0.173670796460177,False,False
eth,30s,15,150,6,1.229,0.1049,0.897,1.353,1.555,1000,0.22416986301369862,False,False
eth,30s,20,150,6,3.322,0.001,0.945,1.507,1.795,1000,0.008432432432432432,True,True
eth,30s,30,150,6,1.235,0.002,0.918,1.007,1.149,1000,0.01521951219512195,True,True
eth,30s,40,150,6,1.184,0.2498,0.967,1.823,2.401,1000,0.39362424242424243,False,False
eth,5s,10,150,6,0.994,0.0569,0.906,0.998,1.092,1000,0.17070000000000002,False,False
eth,5s,15,150,6,1.293,0.0889,0.901,1.397,1.635,1000,0.2054577777777778,False,False
eth,5s,20,150,6,1.398,0.2907,1.045,2.464,3.498,1000,0.43189714285714287,False,False
btc,15s,10,150,8,1.036,0.3307,1.027,1.09,1.133,1000,0.4711342465753425,False,False
btc,15s,15,150,8,1.13,0.2418,1.096,1.213,1.287,1000,0.38687999999999995,False,False
btc,15s,20,150,8,1.225,0.1568,1.104,1.311,1.484,1000,0.30768301886792454,False,False
btc,15s,30,150,8,1.661,0.2128,1.429,2.077,2.535,1000,0.35888432432432427,False,False
btc,30s,10,150,8,1.076,0.03,1.019,1.065,1.088,1000,0.11277108433734939,True,False
btc,30s,15,150,8,1.104,0.2777,1.09,1.173,1.226,1000,0.4226458536585366,False,False
btc,30s,20,150,8,1.289,0.2018,1.145,1.613,1.949,1000,0.34726956521739133,False,False
btc,30s,30,150,8,3.838,0.001,1.371,1.893,2.231,1000,0.008432432432432432,True,True
btc,30s,40,150,8,4.802,0.001,1.547,2.393,2.877,1000,0.008432432432432432,True,True
btc,5s,10,150,8,1.106,0.5884,1.134,1.791,2.376,1000,0.6758857142857143,False,False
btc,5s,15,150,8,1.447,0.1518,1.23,1.657,2.006,1000,0.3036,False,False
eth,15s,10,150,8,0.994,0.6354,1.009,1.21,1.295,1000,0.7080171428571429,False,False
eth,15s,15,150,8,1.238,0.1978,1.047,1.55,1.891,1000,0.34726956521739133,False,False
eth,15s,20,150,8,1.264,0.007,1.027,1.134,1.206,1000,0.04044444444444445,True,True
eth,15s,30,150,8,1.107,0.4735,1.103,1.273,1.42,1000,0.5885737051792829,False,False
eth,15s,40,150,8,1.641,0.0729,1.216,1.746,2.212,1000,0.18594193548387097,False,False
eth,1s,10,150,8,0.903,0.7792,0.936,1.068,1.166,1000,0.8269061224489795,False,False
eth,30s,10,150,8,1.539,0.001,1.043,1.188,1.264,1000,0.008432432432432432,True,True
eth,30s,15,150,8,1.91,0.001,1.081,1.299,1.433,1000,0.008432432432432432,True,True
eth,30s,20,150,8,1.373,0.0739,1.085,1.434,1.663,1000,0.18594193548387097,False,False
eth,30s,30,150,8,1.111,0.2737,1.09,1.192,1.278,1000,0.4186,False,False
eth,30s,40,150,8,1.395,0.1578,1.227,1.62,1.952,1000,0.30771,False,False
eth,5s,10,150,8,1.321,0.2048,1.093,1.813,2.422,1000,0.34726956521739133,False,False
eth,5s,15,150,8,1.139,0.1548,1.084,1.183,1.282,1000,0.30568101265822784,False,False
eth,5s,20,150,8,1.161,0.3766,1.138,1.296,1.403,1000,0.5108660869565217,False,False
btc,15s,10,300,10,1.062,0.2028,1.037,1.103,1.154,1000,0.34726956521739133,False,False
btc,15s,15,300,10,1.098,0.6404,1.112,1.298,1.426,1000,0.7110491103202847,False,False
btc,15s,20,300,10,1.157,0.5375,1.166,1.638,2.036,1000,0.6424580152671755,False,False
btc,15s,30,300,10,2.253,0.0709,1.483,2.395,2.867,1000,0.18594193548387097,False,False
btc,1s,10,300,6,0.979,0.4336,0.965,1.226,1.388,1000,0.5673439330543933,False,False
btc,30s,10,300,10,1.002,0.6523,1.007,1.051,1.076,1000,0.7151915789473684,False,False
btc,30s,15,300,10,1.024,0.5395,1.027,1.099,1.167,1000,0.6424580152671755,False,False
btc,30s,20,300,10,1.065,0.3536,1.046,1.187,1.27,1000,0.49402270742358073,False,False
btc,30s,30,300,10,8.479,0.001,1.192,1.805,2.305,1000,0.008432432432432432,True,True
btc,30s,40,300,10,1.619,0.038,1.145,1.528,1.802,1000,0.1288695652173913,True,False
btc,5s,10,300,10,1.191,0.1259,1.09,1.278,1.435,1000,0.26362953020134233,False,False
btc,5s,15,300,10,2.008,0.024,1.234,1.821,2.285,1000,0.10118918918918919,True,False
btc,5s,20,300,6,1.752,0.0569,1.253,1.781,2.294,1000,0.17070000000000002,False,False
eth,15s,10,300,10,1.003,0.5874,1.011,1.21,1.295,1000,0.6758857142857143,False,False
eth,15s,15,300,10,1.038,0.6334,1.069,1.55,1.891,1000,0.7080171428571429,False,False
eth,15s,20,300,10,1.109,0.1958,1.054,1.182,1.253,1000,0.34726956521739133,False,False
eth,15s,30,300,10,1.195,0.3826,1.156,1.768,2.208,1000,0.5145310344827586,False,False
eth,15s,40,300,10,3.026,0.002,1.396,2.045,2.48,1000,0.01521951219512195,True,True
eth,1s,10,300,10,1.209,0.2697,1.057,1.7,2.137,1000,0.4145142857142857,False,False
eth,1s,15,300,6,1.466,0.0959,1.047,1.649,2.093,1000,0.21681739130434782,False,False
eth,30s,10,300,10,1.004,0.6963,1.018,1.213,1.324,1000,0.7527944636678201,False,False
eth,30s,15,300,10,1.046,0.4535,1.037,1.423,1.582,1000,0.5766315789473684,False,False
eth,30s,20,300,10,1.17,0.3247,1.07,1.714,2.257,1000,0.4675706422018348,False,False
eth,30s,30,300,10,1.182,0.2877,1.11,1.375,1.557,1000,0.430977990430622,False,False
eth,30s,40,300,10,1.06,0.9071,1.187,1.769,2.293,1000,0.9402498338870432,False,False
eth,5s,10,300,10,1.356,0.1888,1.092,1.813,2.422,1000,0.34726956521739133,False,False
eth,5s,15,300,10,1.438,0.1888,1.172,1.865,2.323,1000,0.34726956521739133,False,False
eth,5s,20,300,10,1.429,0.1538,1.241,1.668,1.964,1000,0.3056407643312102,False,False
btc,15s,10,300,6,1.178,0.0719,0.847,1.211,1.311,1000,0.18594193548387097,False,False
btc,15s,15,300,6,1.137,0.9371,1.339,1.538,1.663,1000,0.9554745098039216,False,False
btc,15s,20,300,6,2.932,0.027,1.542,2.456,3.639,1000,0.10529999999999999,True,False
