asset,hz,thr_bps,pca_dim,k,cluster,n,mfe_mean_bps,mae_mean_bps,mfe_mae_ratio,mfe_lift,trade_dir,bh_q
btc,30s,40,300,8,2,104,5.376,1.38,3.896,1.729,-1,0.008432432432432432
btc,30s,30,150,8,5,148,6.03,1.673,3.604,2.029,-1,0.008432432432432432
btc,30s,30,50,8,4,155,5.917,1.662,3.561,1.991,-1,0.008432432432432432
btc,15s,30,50,8,1,169,4.405,1.427,3.086,1.815,-1,0.03532075471698114
btc,15s,15,150,6,4,561,14.883,4.921,3.024,1.884,1,0.008432432432432432
btc,15s,30,300,6,3,293,19.376,6.421,3.018,2.329,1,0.156
btc,30s,30,300,6,5,313,16.766,6.137,2.732,2.732,-1,0.008432432432432432
btc,15s,30,600,6,1,273,19.579,7.192,2.722,2.353,1,0.20292093023255814
btc,30s,40,150,8,5,348,4.253,1.589,2.676,1.368,-1,0.008432432432432432
btc,30s,40,150,8,3,136,4.344,1.706,2.547,1.397,-1,0.008432432432432432
btc,15s,30,50,6,4,352,17.23,7.389,2.332,2.071,1,0.30160000000000003
btc,15s,30,300,10,2,104,4.704,2.088,2.253,1.938,-1,0.18594193548387097
btc,30s,40,600,8,3,498,3.732,1.729,2.159,1.2,-1,0.008432432432432432
btc,30s,30,300,8,1,220,4.347,2.037,2.133,1.463,-1,0.008432432432432432
btc,15s,20,150,6,1,1021,13.491,6.328,2.132,1.621,1,0.10529999999999999
btc,15s,20,50,6,5,1204,13.071,6.522,2.004,1.571,1,0.22389295774647888
btc,5s,20,150,6,3,161,4.902,2.49,1.969,1.737,-1,0.11277108433734939
btc,15s,20,600,6,2,1362,13.544,7.111,1.905,1.627,1,0.10529999999999999
btc,30s,40,300,8,0,229,5.243,2.863,1.831,1.687,-1,0.008432432432432432
btc,30s,40,50,8,6,294,3.127,1.799,1.738,1.006,-1,0.008432432432432432
btc,30s,40,300,8,5,407,3.221,1.884,1.71,1.036,-1,0.008432432432432432
btc,5s,20,300,6,1,130,3.662,2.183,1.677,1.298,-1,0.17070000000000002
btc,30s,30,150,8,1,1006,3.549,2.128,1.667,1.194,-1,0.008432432432432432
btc,15s,30,150,8,3,244,4.018,2.419,1.661,1.655,-1,0.35888432432432427
btc,15s,30,300,8,3,265,4.044,2.558,1.581,1.666,-1,0.4675706422018348
btc,15s,15,600,6,0,3102,12.267,7.875,1.558,1.553,1,0.0460327868852459
btc,15s,30,150,10,7,247,2.794,1.835,1.523,1.151,-1,0.5818548387096775
btc,5s,20,300,6,4,120,4.133,2.738,1.51,1.465,1,0.17070000000000002
eth,15s,40,150,6,2,240,19.569,5.958,3.284,1.914,1,0.09533333333333333
eth,15s,40,50,6,1,338,18.656,8.541,2.184,1.825,1,0.30160000000000003
eth,15s,30,50,6,2,835,15.493,7.154,2.166,1.687,1,0.2054577777777778
eth,15s,40,50,10,7,112,7.012,3.271,2.144,1.774,-1,0.09533333333333333
eth,15s,40,600,10,9,131,4.902,2.563,1.913,1.24,1,0.0460327868852459
eth,30s,15,150,8,7,142,7.406,3.878,1.91,1.768,-1,0.008432432432432432
eth,30s,15,300,8,7,142,7.406,3.878,1.91,1.768,-1,0.008432432432432432
eth,30s,15,50,8,7,142,7.406,3.878,1.91,1.768,-1,0.008432432432432432
eth,30s,15,600,8,5,142,7.406,3.878,1.91,1.768,-1,0.008432432432432432
eth,15s,30,150,6,0,1033,14.557,7.798,1.867,1.585,1,0.008432432432432432
eth,15s,30,600,6,4,859,15.964,8.659,1.844,1.739,1,0.2175021582733813
eth,15s,40,300,6,1,387,17.167,9.627,1.783,1.679,1,0.019914893617021277
eth,15s,40,600,6,0,315,15.56,9.541,1.631,1.522,1,0.008432432432432432
eth,15s,40,50,8,0,152,5.855,3.717,1.575,1.482,-1,0.019914893617021277
eth,15s,30,50,10,0,124,5.01,3.197,1.567,1.218,1,0.2054577777777778
eth,30s,10,150,8,3,424,6.436,4.181,1.539,1.504,-1,0.008432432432432432
eth,30s,10,300,8,3,424,6.436,4.181,1.539,1.504,-1,0.008432432432432432
eth,30s,10,50,8,0,424,6.436,4.181,1.539,1.504,-1,0.008432432432432432
eth,30s,10,600,8,5,424,6.436,4.181,1.539,1.504,-1,0.008432432432432432
eth,15s,30,300,8,5,223,6.007,3.982,1.508,1.461,-1,0.043789473684210524
