asset,hz,thr_bps,pca_dim,k,n_clusters,n_reversal,n_continuation,best_mfe_mae_ratio,best_ratio_mfe_lift,best_ratio_n,mean_mfe_mae_ratio,perm_p,is_final_retained
btc,15s,10,50,6,6,5,1,1.139,1.42,9599,0.8645,0.1019,False
btc,15s,10,50,8,8,6,2,1.038,1.029,8261,0.9916,0.2977,False
btc,15s,10,50,10,10,7,3,1.064,1.063,5491,0.9795,0.1928,False
btc,15s,10,150,6,6,5,1,1.136,1.422,9494,0.8573,0.1089,False
btc,15s,10,150,8,8,6,2,1.036,1.033,6940,0.9918,0.3307,False
btc,15s,10,150,10,10,7,3,1.058,1.063,5411,0.9756,0.2398,False
btc,15s,10,300,6,6,5,1,1.178,1.479,10080,0.8872,0.0719,False
btc,15s,10,300,8,8,6,2,1.032,1.032,6935,0.9914,0.3896,False
btc,15s,10,300,10,10,7,3,1.062,1.063,5405,0.9803,0.2028,False
btc,15s,10,600,6,6,5,1,1.143,1.432,9492,0.8797,0.0949,False
btc,15s,10,600,8,8,6,2,1.034,1.027,8252,0.9902,0.3626,False
btc,15s,10,600,10,10,7,3,1.054,1.06,5394,0.9777,0.2667,False
btc,15s,15,50,6,6,3,3,1.786,0.726,350,1.0325,0.003,False
btc,15s,15,50,8,8,5,3,1.431,0.395,164,1.0239,0.009,False
btc,15s,15,50,10,10,5,5,2.467,1.071,37,1.1289,0.006,False
btc,15s,15,150,6,6,3,3,3.024,1.884,561,1.2075,0.001,False
btc,15s,15,150,8,8,5,3,1.13,1.134,2574,0.9452,0.2418,False
btc,15s,15,150,10,9,3,6,1.347,0.392,166,0.9637,0.032,False
btc,15s,15,300,6,6,4,2,1.137,1.248,2804,0.7867,0.9371,False
btc,15s,15,300,8,8,5,3,2.028,0.861,60,1.1029,0.006,False
btc,15s,15,300,10,10,4,6,1.098,0.383,171,0.9673,0.6404,False
btc,15s,15,600,6,6,2,4,1.558,1.553,3102,1.0973,0.009,False
btc,15s,15,600,8,8,5,3,1.15,1.148,2601,0.9904,0.2498,False
btc,15s,15,600,10,9,5,4,1.146,1.134,2320,0.967,0.2368,False
btc,15s,20,50,6,6,2,4,2.004,1.571,1204,1.1115,0.1019,False
btc,15s,20,50,8,8,2,6,2.859,1.217,30,1.2248,0.002,False
btc,15s,20,50,10,10,5,5,1.18,1.324,744,0.8931,0.4535,False
btc,15s,20,150,6,6,1,5,2.932,0.474,30,1.5172,0.027,False
btc,15s,20,150,8,8,3,5,1.225,0.305,173,1.0304,0.1568,False
btc,15s,20,150,10,10,4,6,2.887,1.105,50,1.1061,0.003,False
btc,15s,20,300,6,6,2,4,2.932,0.474,30,1.2002,0.027,False
btc,15s,20,300,8,8,2,6,2.859,1.217,30,1.1659,0.002,False
btc,15s,20,300,10,10,2,8,1.157,0.843,246,0.8995,0.5375,False
btc,15s,20,600,6,6,1,5,2.932,0.474,30,1.46,0.027,False
btc,15s,20,600,8,8,3,5,1.16,1.289,1075,0.8584,0.3606,False
btc,15s,20,600,10,10,4,6,1.074,0.933,727,0.8845,0.8342,False
btc,15s,30,50,6,6,4,2,2.332,2.071,352,0.9985,0.1469,False
btc,15s,30,50,8,8,4,4,3.086,1.815,169,1.0905,0.006,False
btc,15s,30,50,10,8,4,4,2.706,2.198,73,0.9942,0.015,False
btc,15s,30,150,6,5,2,3,12.085,11.058,30,3.0894,0.001,False
btc,15s,30,150,8,7,3,4,1.661,1.655,244,0.8161,0.2128,False
btc,15s,30,150,10,8,4,4,1.523,1.151,247,0.7746,0.4625,False
btc,15s,30,300,6,6,4,2,3.018,2.329,293,1.1055,0.049,False
btc,15s,30,300,8,8,6,2,1.581,1.666,265,0.8106,0.3267,False
btc,15s,30,300,10,8,4,4,2.253,1.938,104,0.9796,0.0709,False
btc,15s,30,600,6,6,3,3,2.722,2.353,273,0.8732,0.0839,False
btc,15s,30,600,8,8,5,3,2.596,3.621,21,0.8141,0.036,False
btc,15s,30,600,10,8,4,4,1.492,2.308,43,0.9403,0.4955,False
btc,1s,10,50,6,5,5,0,0.975,1.33,132,0.8186,0.6533,False
btc,1s,10,50,6,5,5,0,0.975,1.33,132,0.8186,0.6533,False
btc,1s,10,50,6,5,5,0,0.975,1.33,132,0.8186,0.6533,False
btc,1s,10,150,6,5,5,0,0.957,1.387,115,0.828,0.7293,False
btc,1s,10,150,6,5,5,0,0.957,1.387,115,0.828,0.7293,False
btc,1s,10,150,6,5,5,0,0.957,1.387,115,0.828,0.7293,False
btc,1s,10,300,6,4,4,0,0.979,1.258,158,0.849,0.4336,False
btc,1s,10,300,6,4,4,0,0.979,1.258,158,0.849,0.4336,False
btc,1s,10,300,6,4,4,0,0.979,1.258,158,0.849,0.4336,False
btc,1s,10,600,6,4,4,0,0.958,1.291,140,0.8562,0.5285,False
btc,1s,10,600,6,4,4,0,0.958,1.291,140,0.8562,0.5285,False
btc,1s,10,600,6,4,4,0,0.958,1.291,140,0.8562,0.5285,False
btc,30s,10,50,6,6,6,0,0.955,0.665,2100,0.9083,0.0979,False
btc,30s,10,50,8,8,8,0,1.079,1.011,16262,1.0021,0.026,False
btc,30s,10,50,10,10,9,1,1.005,1.015,10860,0.9808,0.5165,False
btc,30s,10,150,6,6,6,0,0.974,0.664,2036,0.9115,0.0629,False
btc,30s,10,150,8,8,8,0,1.076,1.01,16113,1.0032,0.03,False
btc,30s,10,150,10,10,9,1,1.002,1.014,10801,0.9814,0.6264,False
btc,30s,10,300,6,6,6,0,0.977,0.662,2041,0.9115,0.0529,False
btc,30s,10,300,8,8,8,0,1.079,1.011,15888,1.0032,0.026,False
btc,30s,10,300,10,10,9,1,1.002,1.014,10813,0.9814,0.6523,False
btc,30s,10,600,6,6,6,0,0.978,0.663,2039,0.9123,0.0539,False
btc,30s,10,600,8,8,8,0,1.08,1.011,15872,1.0028,0.024,False
btc,30s,10,600,10,10,9,1,1.003,1.014,10783,0.9813,0.6104,False
btc,30s,15,50,6,6,6,0,0.945,1.255,8472,0.8443,0.1748,False
btc,30s,15,50,8,8,8,0,1.12,1.012,6599,1.0519,0.1479,False
btc,30s,15,50,10,10,7,3,1.021,1.015,6017,0.984,0.6004,False
btc,30s,15,150,6,6,5,1,1.02,0.526,880,0.855,0.0649,False
btc,30s,15,150,8,8,7,1,1.104,1.239,764,1.0431,0.2777,False
btc,30s,15,150,10,10,8,2,1.012,1.021,3746,0.9837,0.8621,False
