feature_name,list,drop_layer,reason,btc_weighted_pctile,eth_weighted_pctile,bnb_weighted_pctile,max_cross_pctile,btc_mean_gain_over_null,eth_mean_gain_over_null
lwp_ask_10bps_fut_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_ask_10bps_spot_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_ask_1bps_fut_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_ask_1bps_spot_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_ask_2bps_fut_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_ask_2bps_spot_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_ask_5bps_fut_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_ask_5bps_spot_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_ask_struct100_fut_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_ask_struct100_spot_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_ask_struct50_fut_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_ask_struct50_spot_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_bid_10bps_fut_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_bid_10bps_spot_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_bid_1bps_fut_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_bid_1bps_spot_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_bid_2bps_fut_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_bid_2bps_spot_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_bid_5bps_fut_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_bid_5bps_spot_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_bid_struct100_fut_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_bid_struct100_spot_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_bid_struct50_fut_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_bid_struct50_spot_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_mid_10bps_fut_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_mid_10bps_fut_300s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_mid_10bps_fut_900s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_mid_10bps_spot_1s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
lwp_mid_10bps_spot_300s,primary,correlation_structural,lwp_structural_redundancy,,,,,,
