column,bare_name,asset,stage,group,spec_file,depth_band,window_s,market_scope,feature_id,matched_spec_name,is_meta,is_target,is_feature,match_source,base_concept
bucket_dt_utc_btc,bucket_dt_utc,btc,S0,Data Health / Context,,,,,,,True,False,False,meta_pattern,bucket_dt_utc
data_health_flag_btc,data_health_flag,btc,S0,Data Health,s0_health_spec,,,,30.0,data_health_flag,True,False,False,spec,data_health_flag
data_health_flag_soft_btc,data_health_flag_soft,btc,S0,Data Health,s0_health_spec,,,,31.0,data_health_flag_soft,True,False,False,spec,data_health_flag_soft
depth_availability_btc,depth_availability,btc,S0,Data Health / Context,,,,,,,True,False,False,meta_pattern,depth_availability
depth_lobdeep_global_btc,depth_lobdeep_global,btc,S0,Data Health,s0_health_spec,,,,33.0,depth_lobdeep_global,True,False,False,spec,depth_lobdeep_global
health_reason_code_btc,health_reason_code,btc,S0,Data Health / Context,,,,,,,True,False,False,meta_pattern,health_reason_code
l2_bad_bitmask_btc,l2_bad_bitmask,btc,S0,Data Health / Context,,,,,,,True,False,False,meta_pattern,l2_bad_bitmask
l2_bad_combos_btc,l2_bad_combos,btc,S0,Data Health / Context,,,,,,,True,False,False,meta_pattern,l2_bad_combos
l2_coverage_flag_btc,l2_coverage_flag,btc,S0,Data Health,s0_health_spec,,,,32.0,l2_coverage_flag,True,False,False,spec,l2_coverage_flag
l2_crossed_combos_btc,l2_crossed_combos,btc,S0,Data Health / Context,,,,,,,True,False,False,meta_pattern,l2_crossed_combos
l2_gap_combos_btc,l2_gap_combos,btc,S0,Data Health / Context,,,,,,,True,False,False,meta_pattern,l2_gap_combos
l2_invalid_ts_combos_btc,l2_invalid_ts_combos,btc,S0,Data Health / Context,,,,,,,True,False,False,meta_pattern,l2_invalid_ts_combos
l2_missing_combos_btc,l2_missing_combos,btc,S0,Data Health / Context,,,,,,,True,False,False,meta_pattern,l2_missing_combos
l2_reconnect_combos_btc,l2_reconnect_combos,btc,S0,Data Health / Context,,,,,,,True,False,False,meta_pattern,l2_reconnect_combos
l2_total_combos_btc,l2_total_combos,btc,S0,Data Health / Context,,,,,,,True,False,False,meta_pattern,l2_total_combos
lob50_health_flag_btc,lob50_health_flag,btc,S0,Data Health,s0_health_spec,,,,34.0,lob50_health_flag,True,False,False,spec,lob50_health_flag
trades_coverage_flag_btc,trades_coverage_flag,btc,S0,Data Health,s0_health_spec,,,,35.0,trades_coverage_flag,True,False,False,spec,trades_coverage_flag
unusable_reason_code_btc,unusable_reason_code,btc,S0,Data Health / Context,,,,,,,True,False,False,meta_pattern,unusable_reason_code
usability_bad_count_win_btc,usability_bad_count_win,btc,S0,Data Health / Context,,,,,,,True,False,False,meta_pattern,usability_bad_count_win
usability_bad_ratio_win_btc,usability_bad_ratio_win,btc,S0,Data Health / Context,,,,,,,True,False,False,meta_pattern,usability_bad_ratio_win
usability_max_bad_streak_win_btc,usability_max_bad_streak_win,btc,S0,Data Health / Context,,,,,,,True,False,False,meta_pattern,usability_max_bad_streak_win
usability_warmup_flag_btc,usability_warmup_flag,btc,S0,Data Health / Context,,,,,,,True,False,False,meta_pattern,usability_warmup_flag
session_asia_btc,session_asia,btc,S0,Session,s0_calendar_spec,,1.0,,24.0,session_asia,True,False,False,spec,session_asia
session_london_btc,session_london,btc,S0,Session,s0_calendar_spec,,1.0,,25.0,session_london,True,False,False,spec,session_london
session_newyork_btc,session_newyork,btc,S0,Session,s0_calendar_spec,,1.0,,26.0,session_newyork,True,False,False,spec,session_newyork
session_overlap_flag_btc,session_overlap_flag,btc,S0,Session,s0_calendar_spec,,1.0,,27.0,session_overlap_flag,True,False,False,spec,session_overlap_flag
session_sydney_btc,session_sydney,btc,S0,Session,s0_calendar_spec,,1.0,,22.0,session_sydney,True,False,False,spec,session_sydney
session_tokyo_btc,session_tokyo,btc,S0,Session,s0_calendar_spec,,1.0,,23.0,session_tokyo,True,False,False,spec,session_tokyo
us_holiday_btc,us_holiday,btc,S0,Session,s0_calendar_spec,,1.0,,28.0,us_holiday,True,False,False,spec,us_holiday
us_rth_btc,us_rth,btc,S0,Session,s0_calendar_spec,,1.0,,29.0,us_rth,True,False,False,spec,us_rth
best_ask_fut_1s_btc,best_ask_fut_1s,btc,S0,Price,s0_price,,,Futures,40.0,best_ask_fut_1s,False,False,True,spec,best_ask
best_ask_spot_1s_btc,best_ask_spot_1s,btc,S0,Price,s0_price,,,Spot,41.0,best_ask_spot_1s,False,False,True,spec,best_ask
best_bid_fut_1s_btc,best_bid_fut_1s,btc,S0,Price,s0_price,,,Futures,42.0,best_bid_fut_1s,False,False,True,spec,best_bid
best_bid_spot_1s_btc,best_bid_spot_1s,btc,S0,Price,s0_price,,,Spot,43.0,best_bid_spot_1s,False,False,True,spec,best_bid
mid_fut_1s_btc,mid_fut_1s,btc,S0,Price,s0_price,,,Futures,44.0,mid_fut_1s,False,False,True,spec,mid
mid_spot_1s_btc,mid_spot_1s,btc,S0,Price,s0_price,,,Spot,45.0,mid_spot_1s,False,False,True,spec,mid
spread_fut_1s_btc,spread_fut_1s,btc,S0,Price,s0_price,,,Futures,46.0,spread_fut_1s,False,False,True,spec,spread
