column,type,asset,source,bare_name,bundle,family,use_tree,use_linear,use_cluster,use_anomaly,vif,top_returns,top_mfe,top_mae,top_short_horizon,top_long_horizon
above_prev_day_high_fut_btc,feature,btc,S5,above_prev_day_high_fut,B6_context,Level Events,True,False,True,True,,False,False,False,False,False
above_prev_day_high_fut_eth,feature,eth,S5,above_prev_day_high_fut,B6_context,Level Events,True,False,True,True,,False,False,False,False,False
above_week_open_fut_btc,feature,btc,S5,above_week_open_fut,B6_context,Level Events,True,False,True,True,,False,False,False,False,False
absorb_refill_ask_fut_10bps_1s_btc,feature,btc,S5,absorb_refill_ask_fut_10bps_1s,B3_flow,Absorption,True,True,True,True,5.8311,False,False,False,False,False
absorb_refill_ask_fut_10bps_1s_eth,feature,eth,S5,absorb_refill_ask_fut_10bps_1s,B3_flow,Absorption,True,True,True,True,5.8311,False,False,False,True,False
absorb_refill_ask_fut_2bps_1s_btc,feature,btc,S5,absorb_refill_ask_fut_2bps_1s,B3_flow,Absorption,True,False,True,True,2765.1572,False,False,False,False,False
absorb_refill_ask_fut_2bps_1s_eth,feature,eth,S5,absorb_refill_ask_fut_2bps_1s,B3_flow,Absorption,True,False,True,True,2765.1572,False,False,False,False,False
absorb_refill_ask_fut_5bps_1s_btc,feature,btc,S5,absorb_refill_ask_fut_5bps_1s,B3_flow,Absorption,True,False,True,True,1610.8177,False,False,False,False,False
absorb_refill_ask_fut_5bps_1s_eth,feature,eth,S5,absorb_refill_ask_fut_5bps_1s,B3_flow,Absorption,True,False,True,True,1610.8177,False,False,False,False,False
absorb_refill_ask_spot_10bps_1s_btc,feature,btc,S5,absorb_refill_ask_spot_10bps_1s,B3_flow,Absorption,True,False,True,True,24.2869,False,False,False,False,False
absorb_refill_ask_spot_10bps_1s_eth,feature,eth,S5,absorb_refill_ask_spot_10bps_1s,B3_flow,Absorption,True,False,True,True,24.2869,False,False,False,False,False
absorb_refill_ask_spot_2bps_1s_btc,feature,btc,S5,absorb_refill_ask_spot_2bps_1s,B3_flow,Absorption,True,False,True,True,11.4253,False,False,False,False,False
absorb_refill_ask_spot_2bps_1s_eth,feature,eth,S5,absorb_refill_ask_spot_2bps_1s,B3_flow,Absorption,True,False,True,True,11.4253,False,False,False,False,False
absorb_refill_ask_spot_5bps_1s_btc,feature,btc,S5,absorb_refill_ask_spot_5bps_1s,B3_flow,Absorption,True,False,True,True,14.6191,False,False,False,False,False
absorb_refill_ask_spot_5bps_1s_eth,feature,eth,S5,absorb_refill_ask_spot_5bps_1s,B3_flow,Absorption,True,False,True,True,14.6191,False,False,False,False,False
absorb_refill_bid_fut_10bps_1s_btc,feature,btc,S5,absorb_refill_bid_fut_10bps_1s,B3_flow,Absorption,True,True,True,True,8.2732,False,False,False,True,False
absorb_refill_bid_fut_10bps_1s_eth,feature,eth,S5,absorb_refill_bid_fut_10bps_1s,B3_flow,Absorption,True,True,True,True,8.2732,False,False,False,False,False
absorb_refill_bid_fut_2bps_1s_btc,feature,btc,S5,absorb_refill_bid_fut_2bps_1s,B3_flow,Absorption,True,False,True,True,1022.4102,False,False,False,False,False
absorb_refill_bid_fut_2bps_1s_eth,feature,eth,S5,absorb_refill_bid_fut_2bps_1s,B3_flow,Absorption,True,False,True,True,1022.4102,False,True,False,True,False
absorb_refill_bid_fut_5bps_1s_btc,feature,btc,S5,absorb_refill_bid_fut_5bps_1s,B3_flow,Absorption,True,False,True,True,1736.1807,False,False,False,True,False
absorb_refill_bid_fut_5bps_1s_eth,feature,eth,S5,absorb_refill_bid_fut_5bps_1s,B3_flow,Absorption,True,False,True,True,1736.1807,False,False,False,False,False
absorb_refill_bid_spot_10bps_1s_btc,feature,btc,S5,absorb_refill_bid_spot_10bps_1s,B3_flow,Absorption,True,False,True,True,22.5174,False,False,False,False,False
absorb_refill_bid_spot_10bps_1s_eth,feature,eth,S5,absorb_refill_bid_spot_10bps_1s,B3_flow,Absorption,True,False,True,True,22.5174,False,False,False,False,False
absorb_refill_bid_spot_2bps_1s_btc,feature,btc,S5,absorb_refill_bid_spot_2bps_1s,B3_flow,Absorption,True,False,True,True,13.8814,False,False,False,False,False
absorb_refill_bid_spot_2bps_1s_eth,feature,eth,S5,absorb_refill_bid_spot_2bps_1s,B3_flow,Absorption,True,False,True,True,13.8814,False,False,False,False,False
absorb_refill_bid_spot_5bps_1s_btc,feature,btc,S5,absorb_refill_bid_spot_5bps_1s,B3_flow,Absorption,True,False,True,True,20.8268,False,False,False,False,False
