column,vif,bare_name,base_concept,group,asset,stage,window_s,market_scope
dist_to_fib_618_week_bps_fut_btc,13102.5766,dist_to_fib_618_week_bps_fut,dist_to_fib_618_week_bps,Range,btc,S1,,Futures
dist_to_fib_500_week_bps_fut_btc,12732.7009,dist_to_fib_500_week_bps_fut,dist_to_fib_500_week_bps,Range,btc,S1,,Futures
dist_to_fib_382_week_bps_fut_btc,10039.476,dist_to_fib_382_week_bps_fut,dist_to_fib_382_week_bps,Range,btc,S1,,Futures
dist_to_fib_786_week_bps_fut_btc,9975.2819,dist_to_fib_786_week_bps_fut,dist_to_fib_786_week_bps,Range,btc,S1,,Futures
lwp_bid_10bps_spot_1s_btc,9922.493,lwp_bid_10bps_spot_1s,lwp_bid_10bps,Price,btc,S0,,Spot
lwp_bid_5bps_spot_1s_btc,9922.2818,lwp_bid_5bps_spot_1s,lwp_bid_5bps,Price,btc,S0,,Spot
lwp_mid_10bps_spot_1s_btc,9922.0451,lwp_mid_10bps_spot_1s,lwp_mid_10bps,Price,btc,S0,,Spot
best_ask_spot_1s_btc,9921.9751,best_ask_spot_1s,best_ask,Price,btc,S0,,Spot
mid_spot_1s_btc,9921.9598,mid_spot_1s,mid,Price,btc,S0,,Spot
best_bid_spot_1s_btc,9921.9445,best_bid_spot_1s,best_bid,Price,btc,S0,,Spot
lwp_mid_5bps_spot_1s_btc,9921.8483,lwp_mid_5bps_spot_1s,lwp_mid_5bps,Price,btc,S0,,Spot
lwp_ask_5bps_spot_1s_btc,9921.208,lwp_ask_5bps_spot_1s,lwp_ask_5bps,Price,btc,S0,,Spot
lwp_mid_struct50_spot_1s_btc,9920.8132,lwp_mid_struct50_spot_1s,lwp_mid_struct50,Price,btc,S0,,Spot
lwp_ask_10bps_spot_1s_btc,9920.3009,lwp_ask_10bps_spot_1s,lwp_ask_10bps,Price,btc,S0,,Spot
lwp_mid_struct100_spot_1s_btc,9913.9976,lwp_mid_struct100_spot_1s,lwp_mid_struct100,Price,btc,S0,,Spot
lwp_ask_struct100_spot_1s_btc,9902.379,lwp_ask_struct100_spot_1s,lwp_ask_struct100,Price,btc,S0,,Spot
lwp_ask_struct50_spot_1s_btc,9902.316,lwp_ask_struct50_spot_1s,lwp_ask_struct50,Price,btc,S0,,Spot
lwp_bid_struct50_spot_1s_btc,9893.1519,lwp_bid_struct50_spot_1s,lwp_bid_struct50,Price,btc,S0,,Spot
lwp_ask_10bps_fut_1s_btc,9851.9353,lwp_ask_10bps_fut_1s,lwp_ask_10bps,Price,btc,S0,,Futures
lwp_ask_5bps_fut_1s_btc,9851.7899,lwp_ask_5bps_fut_1s,lwp_ask_5bps,Price,btc,S0,,Futures
lwp_mid_5bps_fut_1s_btc,9851.7541,lwp_mid_5bps_fut_1s,lwp_mid_5bps,Price,btc,S0,,Futures
lwp_mid_10bps_fut_1s_btc,9851.7519,lwp_mid_10bps_fut_1s,lwp_mid_10bps,Price,btc,S0,,Futures
lwp_bid_5bps_fut_1s_btc,9851.6534,lwp_bid_5bps_fut_1s,lwp_bid_5bps,Price,btc,S0,,Futures
best_bid_fut_1s_btc,9851.6217,best_bid_fut_1s,best_bid,Price,btc,S0,,Futures
mid_fut_1s_btc,9851.6161,mid_fut_1s,mid,Price,btc,S0,,Futures
best_ask_fut_1s_btc,9851.61,best_ask_fut_1s,best_ask,Price,btc,S0,,Futures
lwp_bid_struct50_fut_1s_btc,9851.4233,lwp_bid_struct50_fut_1s,lwp_bid_struct50,Price,btc,S0,,Futures
lwp_mid_struct50_fut_1s_btc,9851.121,lwp_mid_struct50_fut_1s,lwp_mid_struct50,Price,btc,S0,,Futures
lwp_mid_struct100_fut_1s_btc,9850.6049,lwp_mid_struct100_fut_1s,lwp_mid_struct100,Price,btc,S0,,Futures
lwp_bid_struct100_spot_1s_btc,9849.7934,lwp_bid_struct100_spot_1s,lwp_bid_struct100,Price,btc,S0,,Spot
lwp_ask_struct50_fut_1s_btc,9849.7193,lwp_ask_struct50_fut_1s,lwp_ask_struct50,Price,btc,S0,,Futures
lwp_bid_10bps_fut_1s_btc,9849.2124,lwp_bid_10bps_fut_1s,lwp_bid_10bps,Price,btc,S0,,Futures
lwp_ask_struct100_fut_1s_btc,9836.269,lwp_ask_struct100_fut_1s,lwp_ask_struct100,Price,btc,S0,,Futures
lwp_ask_2bps_spot_1s_btc,9835.3214,lwp_ask_2bps_spot_1s,lwp_ask_2bps,Price,btc,S0,,Spot
