base_concept,feature_name,threshold
basis,basis_300s,0.95
basis_vwap_sf,basis_vwap_sf_300s,0.95
best_ask,best_ask_fut_1s,0.95
best_bid,best_bid_fut_1s,0.95
day_range_bps,day_range_bps_spot,0.95
depth_notional_ask_struct100,depth_notional_ask_struct100_spot_1s,0.95
depth_notional_ask_struct50,depth_notional_ask_struct50_spot_1s,0.95
depth_notional_bid_struct100,depth_notional_bid_struct100_spot_60s,0.95
depth_notional_bid_struct100,depth_notional_bid_struct100_spot_300s,0.95
dist_to_day_high_bps,dist_to_day_high_bps_spot,0.95
dist_to_day_low_bps,dist_to_day_low_bps_spot,0.95
impact_per_signed_persist,impact_per_signed_fut_persist_900s,0.95
impact_per_signed_persist,impact_per_signed_fut_persist_60s,0.95
l2_update_count_5bps,l2_update_count_spot_5bps_5s,0.95
l2_update_count_5bps,l2_update_count_fut_5bps_1s,0.95
liq_concentration_ask_struct50,liq_concentration_ask_spot_struct50_300s,0.95
liq_concentration_bid_struct50,liq_concentration_bid_spot_struct50_300s,0.95
liq_imb_persist_sf_struct50,liq_imb_persist_sf_struct50_300s,0.95
liq_imb_sf_struct50,liq_imb_sf_struct50_300s,0.95
lwp_ask_10bps,lwp_ask_10bps_fut_1s,0.95
lwp_ask_1bps,lwp_ask_1bps_fut_1s,0.95
lwp_ask_2bps,lwp_ask_2bps_fut_1s,0.95
lwp_ask_5bps,lwp_ask_5bps_fut_1s,0.95
lwp_ask_struct100,lwp_ask_struct100_fut_1s,0.95
lwp_ask_struct50,lwp_ask_struct50_fut_1s,0.95
lwp_bid_10bps,lwp_bid_10bps_fut_1s,0.95
lwp_bid_1bps,lwp_bid_1bps_fut_1s,0.95
lwp_bid_2bps,lwp_bid_2bps_fut_1s,0.95
lwp_bid_5bps,lwp_bid_5bps_fut_1s,0.95
lwp_bid_struct100,lwp_bid_struct100_fut_1s,0.95
lwp_bid_struct50,lwp_bid_struct50_fut_1s,0.95
lwp_mid_10bps,lwp_mid_10bps_spot_300s,0.95
lwp_mid_10bps,lwp_mid_10bps_fut_60s,0.95
lwp_mid_10bps,lwp_mid_10bps_spot_1s,0.95
lwp_mid_10bps,lwp_mid_10bps_fut_300s,0.95
lwp_mid_10bps,lwp_mid_10bps_fut_1s,0.95
lwp_mid_10bps,lwp_mid_10bps_fut_900s,0.95
lwp_mid_10bps,lwp_mid_10bps_spot_60s,0.95
lwp_mid_1bps,lwp_mid_1bps_fut_1s,0.95
lwp_mid_2bps,lwp_mid_2bps_fut_1s,0.95
lwp_mid_5bps,lwp_mid_5bps_fut_60s,0.95
lwp_mid_5bps,lwp_mid_5bps_spot_60s,0.95
lwp_mid_5bps,lwp_mid_5bps_fut_900s,0.95
lwp_mid_5bps,lwp_mid_5bps_spot_300s,0.95
lwp_mid_5bps,lwp_mid_5bps_fut_1s,0.95
lwp_mid_5bps,lwp_mid_5bps_fut_300s,0.95
lwp_mid_5bps,lwp_mid_5bps_spot_1s,0.95
lwp_mid_struct100,lwp_mid_struct100_spot_60s,0.95
lwp_mid_struct100,lwp_mid_struct100_fut_60s,0.95
lwp_mid_struct100,lwp_mid_struct100_spot_300s,0.95
lwp_mid_struct100,lwp_mid_struct100_fut_900s,0.95
lwp_mid_struct100,lwp_mid_struct100_spot_1s,0.95
lwp_mid_struct100,lwp_mid_struct100_fut_300s,0.95
lwp_mid_struct100,lwp_mid_struct100_fut_1s,0.95
lwp_mid_struct50,lwp_mid_struct50_spot_300s,0.95
lwp_mid_struct50,lwp_mid_struct50_fut_1s,0.95
lwp_mid_struct50,lwp_mid_struct50_spot_1s,0.95
lwp_mid_struct50,lwp_mid_struct50_spot_60s,0.95
lwp_mid_struct50,lwp_mid_struct50_fut_300s,0.95
lwp_mid_struct50,lwp_mid_struct50_fut_60s,0.95
lwp_mid_struct50,lwp_mid_struct50_fut_900s,0.95
max_bps_ask,max_bps_ask_fut_60s,0.95
max_bps_ask,max_bps_ask_fut_1s,0.95
max_bps_ask,max_bps_ask_fut_300s,0.95
max_bps_bid,max_bps_bid_fut_300s,0.95
