column,vif,bare_name,base_concept,group,asset,stage,window_s,market_scope
aggressor_absorption_ratio_spot_5bps_60s_eth,10434.6912,aggressor_absorption_ratio_spot_5bps_60s,aggressor_absorption_ratio_5bps,Absorption,eth,S2,60.0,Spot
lwp_mid_10bps_spot_900s_eth,10031.8936,lwp_mid_10bps_spot_900s,lwp_mid_10bps,Price,eth,S1,900.0,Spot
lwp_mid_struct100_spot_900s_eth,10016.8118,lwp_mid_struct100_spot_900s,lwp_mid_struct100,Price,eth,S1,900.0,Spot
lwp_mid_struct50_spot_900s_eth,10002.5565,lwp_mid_struct50_spot_900s,lwp_mid_struct50,Price,eth,S1,900.0,Spot
lwp_mid_10bps_spot_1s_eth,9793.1722,lwp_mid_10bps_spot_1s,lwp_mid_10bps,Price,eth,S0,,Spot
lwp_bid_10bps_spot_1s_eth,9793.1501,lwp_bid_10bps_spot_1s,lwp_bid_10bps,Price,eth,S0,,Spot
lwp_mid_5bps_spot_1s_eth,9793.0412,lwp_mid_5bps_spot_1s,lwp_mid_5bps,Price,eth,S0,,Spot
lwp_ask_5bps_spot_1s_eth,9793.0366,lwp_ask_5bps_spot_1s,lwp_ask_5bps,Price,eth,S0,,Spot
best_ask_spot_1s_eth,9793.0172,best_ask_spot_1s,best_ask,Price,eth,S0,,Spot
mid_spot_1s_eth,9793.0054,mid_spot_1s,mid,Price,eth,S0,,Spot
best_bid_spot_1s_eth,9792.9935,best_bid_spot_1s,best_bid,Price,eth,S0,,Spot
lwp_ask_10bps_spot_1s_eth,9792.9819,lwp_ask_10bps_spot_1s,lwp_ask_10bps,Price,eth,S0,,Spot
lwp_mid_struct50_spot_1s_eth,9792.9628,lwp_mid_struct50_spot_1s,lwp_mid_struct50,Price,eth,S0,,Spot
lwp_bid_5bps_spot_1s_eth,9792.9236,lwp_bid_5bps_spot_1s,lwp_bid_5bps,Price,eth,S0,,Spot
lwp_mid_struct100_spot_1s_eth,9792.7057,lwp_mid_struct100_spot_1s,lwp_mid_struct100,Price,eth,S0,,Spot
basis_vwap_sf_60s_eth,9763.2225,basis_vwap_sf_60s,basis_vwap_sf,Cross-Market,eth,S3,60.0,Spot|Futures
lwp_bid_struct50_spot_1s_eth,9751.8735,lwp_bid_struct50_spot_1s,lwp_bid_struct50,Price,eth,S0,,Spot
lwp_ask_struct50_spot_1s_eth,9738.392,lwp_ask_struct50_spot_1s,lwp_ask_struct50,Price,eth,S0,,Spot
lwp_ask_5bps_fut_1s_eth,9736.5102,lwp_ask_5bps_fut_1s,lwp_ask_5bps,Price,eth,S0,,Futures
lwp_mid_5bps_fut_1s_eth,9736.4169,lwp_mid_5bps_fut_1s,lwp_mid_5bps,Price,eth,S0,,Futures
lwp_bid_10bps_fut_1s_eth,9736.2882,lwp_bid_10bps_fut_1s,lwp_bid_10bps,Price,eth,S0,,Futures
lwp_bid_5bps_fut_1s_eth,9736.2633,lwp_bid_5bps_fut_1s,lwp_bid_5bps,Price,eth,S0,,Futures
lwp_mid_10bps_fut_1s_eth,9735.9494,lwp_mid_10bps_fut_1s,lwp_mid_10bps,Price,eth,S0,,Futures
lwp_ask_10bps_fut_1s_eth,9735.3448,lwp_ask_10bps_fut_1s,lwp_ask_10bps,Price,eth,S0,,Futures
lwp_mid_struct100_fut_1s_eth,9569.3951,lwp_mid_struct100_fut_1s,lwp_mid_struct100,Price,eth,S0,,Futures
best_ask_fut_1s_eth,9568.7101,best_ask_fut_1s,best_ask,Price,eth,S0,,Futures
mid_fut_1s_eth,9568.5812,mid_fut_1s,mid,Price,eth,S0,,Futures
best_bid_fut_1s_eth,9568.4512,best_bid_fut_1s,best_bid,Price,eth,S0,,Futures
lwp_mid_struct50_fut_1s_eth,9568.1508,lwp_mid_struct50_fut_1s,lwp_mid_struct50,Price,eth,S0,,Futures
lwp_bid_2bps_spot_1s_eth,9554.6896,lwp_bid_2bps_spot_1s,lwp_bid_2bps,Price,eth,S0,,Spot
lwp_mid_2bps_spot_1s_eth,9551.6086,lwp_mid_2bps_spot_1s,lwp_mid_2bps,Price,eth,S0,,Spot
lwp_ask_2bps_spot_1s_eth,9548.3565,lwp_ask_2bps_spot_1s,lwp_ask_2bps,Price,eth,S0,,Spot
lwp_bid_struct50_fut_1s_eth,9546.7363,lwp_bid_struct50_fut_1s,lwp_bid_struct50,Price,eth,S0,,Futures
lwp_ask_struct50_fut_1s_eth,9542.2487,lwp_ask_struct50_fut_1s,lwp_ask_struct50,Price,eth,S0,,Futures
lwp_bid_struct100_spot_1s_eth,9534.6818,lwp_bid_struct100_spot_1s,lwp_bid_struct100,Price,eth,S0,,Spot
lwp_ask_struct100_spot_1s_eth,9516.3177,lwp_ask_struct100_spot_1s,lwp_ask_struct100,Price,eth,S0,,Spot
lwp_bid_struct100_fut_1s_eth,9501.9757,lwp_bid_struct100_fut_1s,lwp_bid_struct100,Price,eth,S0,,Futures
lwp_ask_struct100_fut_1s_eth,9468.1114,lwp_ask_struct100_fut_1s,lwp_ask_struct100,Price,eth,S0,,Futures
lwp_bid_2bps_fut_1s_eth,9430.2247,lwp_bid_2bps_fut_1s,lwp_bid_2bps,Price,eth,S0,,Futures
lwp_mid_2bps_fut_1s_eth,9428.0951,lwp_mid_2bps_fut_1s,lwp_mid_2bps,Price,eth,S0,,Futures
lwp_ask_2bps_fut_1s_eth,9425.9192,lwp_ask_2bps_fut_1s,lwp_ask_2bps,Price,eth,S0,,Futures
lwp_mid_struct50_spot_300s_eth,9401.678,lwp_mid_struct50_spot_300s,lwp_mid_struct50,Price,eth,S1,300.0,Spot
lwp_mid_struct100_spot_300s_eth,9393.7526,lwp_mid_struct100_spot_300s,lwp_mid_struct100,Price,eth,S1,300.0,Spot
lwp_mid_10bps_spot_300s_eth,9380.1481,lwp_mid_10bps_spot_300s,lwp_mid_10bps,Price,eth,S1,300.0,Spot
lwp_ask_1bps_fut_1s_eth,9305.7212,lwp_ask_1bps_fut_1s,lwp_ask_1bps,Price,eth,S0,,Futures
